player,archetype,avg_distance,avg_xFG,avg_sdi,actual_fg_pct
Buddy Hield,Off-Dribble Shooter,18.40590405904059,0.41750963762215887,0.5138609899445044,0.4317343173431734
CJ McCollum,Balanced Scorer,16.146153846153847,0.42583420687090623,0.5038545326524464,0.45384615384615384
Cade Cunningham,Balanced Scorer,12.50990752972259,0.46693214465026883,0.44702883634175633,0.4570673712021136
Caleb Love,Balanced Scorer,18.016548463356973,0.4171136206437149,0.5178560877925177,0.3900709219858156
Cam Spencer,Balanced Scorer,19.316860465116278,0.39652531528390683,0.5223251623908227,0.4796511627906977
Cam Thomas,Balanced Scorer,15.097826086956522,0.43007527609502033,0.5025025469043112,0.39492753623188404
Cameron Johnson,Off-Dribble Shooter,15.755102040816327,0.4538505510831393,0.4496728397201998,0.46122448979591835
Caris LeVert,Balanced Scorer,15.651960784313726,0.43969564378725895,0.5090503113877328,0.43137254901960786
Cason Wallace,Off-Dribble Shooter,15.57912457912458,0.45878786926813886,0.4463765903112653,0.4107744107744108
Cedric Coward,Balanced Scorer,13.190045248868778,0.47682235892526353,0.42897506212583847,0.4660633484162896
Chet Holmgren,Balanced Scorer,11.14516129032258,0.5368436633206835,0.3664323027439187,0.5705645161290323
Coby White,Balanced Scorer,15.961424332344214,0.44126018369946723,0.47332266491138125,0.456973293768546
Cole Anthony,Balanced Scorer,13.54066985645933,0.44373765595514514,0.4743775596579148,0.4449760765550239
Collin Gillespie,Balanced Scorer,19.830265848670756,0.3960864573044152,0.5277035701160611,0.44171779141104295
Collin Murray-Boyles,Rim Pressure Slasher,7.148648648648648,0.5791643737488686,0.3333158323006417,0.536036036036036
Collin Sexton,Balanced Scorer,12.612565445026178,0.46274650631124786,0.4388010246621592,0.49214659685863876
Cooper Flagg,Balanced Scorer,11.208269525267994,0.48887052687044247,0.42736635266693074,0.47320061255742724
D'Angelo Russell,Balanced Scorer,16.823275862068964,0.412525560129922,0.5167114551986105,0.4051724137931034
Daniss Jenkins,Balanced Scorer,14.820833333333333,0.43773595915016233,0.48781446311921245,0.42083333333333334
Danny Wolf,Off-Dribble Shooter,13.548387096774194,0.46552514999819716,0.4542987661044044,0.3870967741935484
Darius Garland,Balanced Scorer,15.408488063660478,0.4278941593622286,0.4828736079582034,0.4509283819628647
Davion Mitchell,Balanced Scorer,12.851973684210526,0.4578877263136403,0.4349236907480481,0.47039473684210525
Day'Ron Sharpe,Rim Pressure Slasher,5.5607476635514015,0.5821797713687078,0.3330707013891963,0.602803738317757
De'Aaron Fox,Balanced Scorer,14.35191637630662,0.44673998712647806,0.47189115832236933,0.47909407665505227
De'Andre Hunter,Balanced Scorer,16.278761061946902,0.4340850686169894,0.4871330246017518,0.42035398230088494
De'Anthony Melton,Off-Dribble Shooter,14.525,0.4344670075043057,0.48148698708527315,0.425
DeMar DeRozan,Balanced Scorer,13.907550077041602,0.44195000222521835,0.4880914796532969,0.5053929121725732
Deandre Ayton,Rim Pressure Slasher,5.131367292225201,0.5836113105958113,0.27270435472445204,0.6595174262734584
Deni Avdija,Balanced Scorer,12.653259361997225,0.4692336865807286,0.43379719632330793,0.47018030513176146
Dennis Schröder,Balanced Scorer,15.045569620253165,0.42523146205573065,0.4939053534177024,0.41012658227848103
Derik Queen,Balanced Scorer,7.28051391862955,0.5406465938331567,0.3636603622557054,0.48394004282655245
Derrick White,Balanced Scorer,18.951541850220263,0.4025582304423103,0.5112634482934106,0.39060205580029367
Desmond Bane,Balanced Scorer,12.303206997084548,0.46179959147028116,0.43555194522433666,0.4518950437317784
Devin Booker,Balanced Scorer,14.606100795755967,0.4403436470302763,0.499507196638335,0.4562334217506631
Devin Vassell,Balanced Scorer,18.802439024390242,0.41399566102524693,0.5079621704351037,0.4219512195121951
Dillon Brooks,Balanced Scorer,16.147142857142857,0.4274347367649137,0.5032469108178831,0.44
Dominick Barlow,Balanced Scorer,7.913043478260869,0.5693928538994312,0.3432297864111265,0.5507246376811594
Donovan Clingan,Balanced Scorer,10.557377049180328,0.5535121666761895,0.32315167764631314,0.5245901639344263
Donovan Mitchell,Balanced Scorer,15.8554476806904,0.43432375544160157,0.48685043193498945,0.4854368932038835
Donte DiVincenzo,Off-Dribble Shooter,20.203125,0.40495564442007304,0.4859811656696758,0.4140625
