player,avg_xFG,actual_fg_pct,makes,attempts,avg_residual,residual_fg_pct
Royce O'Neale,0.3855600933191772,0.4223744292237443,185,438,0.036814335904567085,0.03681433590456712
Zach LaVine,0.4422071723479919,0.4789762340036563,262,547,0.03676906165566444,0.0367690616556644
Giannis Antetokounmpo,0.608220595895828,0.6447638603696099,314,487,0.03654326447378186,0.03654326447378187
Jalen Brunson,0.4308789198260095,0.4668737060041408,451,966,0.03599478617813129,0.03599478617813129
Sam Hauser,0.37333103834573234,0.4083769633507853,156,382,0.03504592500505301,0.03504592500505299
Josh Hart,0.46651503240727055,0.5013774104683195,182,363,0.03486237806104903,0.03486237806104897
Sandro Mamukelashvili,0.49221809440176195,0.526829268292683,216,410,0.03461117389092102,0.034611173890921
Bones Hyland,0.4274481624346151,0.46153846153846156,114,247,0.03409029910384645,0.03409029910384648
Chet Holmgren,0.5337529862187007,0.5662878787878788,299,528,0.032534892569178034,0.032534892569178075
CJ McCollum,0.4222290437043802,0.45467032967032966,331,728,0.0324412859659495,0.03244128596594947
De'Aaron Fox,0.44571864966023517,0.4780564263322884,305,638,0.03233777667205324,0.03233777667205323
Isaiah Collier,0.47321623896300846,0.5046153846153846,164,325,0.03139914565237617,0.031399145652376115
Collin Sexton,0.45664222329167015,0.48792270531400966,202,414,0.03128048202233952,0.03128048202233952
Immanuel Quickley,0.41218744259570633,0.44328358208955226,297,670,0.0310961394938459,0.03109613949384593
Norman Powell,0.44411389424876074,0.4748603351955307,340,716,0.030746440946769947,0.030746440946769982
Miles McBride,0.40309195485840177,0.43370165745856354,157,362,0.030609702600161777,0.03060970260016177
Max Christie,0.43742482340255506,0.46593406593406594,212,455,0.028509242531510878,0.02850924253151088
Jock Landale,0.4936515170859517,0.5210918114143921,210,403,0.027440294328440386,0.027440294328440418
Ajay Mitchell,0.45941598434224906,0.4868421052631579,222,456,0.02742612092090883,0.027426120920908847
Jaden McDaniels,0.4906921355952381,0.5177935943060499,291,562,0.02710145871081176,0.027101458710811765
Will Richard,0.4444181014620319,0.4713114754098361,115,244,0.02689337394780413,0.026893373947804167
Keyonte George,0.4327822851035206,0.4594594594594595,357,777,0.026677174355938846,0.02667717435593886
Michael Porter Jr.,0.4472737631506861,0.4738955823293173,354,747,0.026621819178631184,0.026621819178631156
Joel Embiid,0.46871163613357975,0.4944852941176471,269,544,0.025773657984067333,0.025773657984067333
Brandon Ingram,0.44685459063655275,0.47244094488188976,420,889,0.02558635424533698,0.025586354245337006
Brandin Podziemski,0.4245230276135557,0.45,216,480,0.025476972386444273,0.025476972386444308
Darius Garland,0.4255923578478357,0.4509283819628647,170,377,0.025336024115029027,0.025336024115029
Jaren Jackson Jr.,0.4493287348948333,0.4746268656716418,318,670,0.02529813077680847,0.02529813077680848
Brice Sensabaugh,0.4311068860783273,0.455531453362256,210,461,0.024424567283928604,0.024424567283928666
Ayo Dosunmu,0.49036669525450227,0.51440329218107,250,486,0.024036596926567712,0.024036596926567677
Day'Ron Sharpe,0.584414021377057,0.6081632653061224,149,245,0.0237492439290654,0.02374924392906541
Kris Dunn,0.44820480522085987,0.47151898734177217,149,316,0.02331418212091224,0.023314182120912297
Tyrese Maxey,0.44974518650933676,0.4715370018975332,497,1054,0.021791815388196415,0.021791815388196467
Pascal Siakam,0.46060443771429277,0.48233995584988965,437,906,0.02173551813559683,0.021735518135596876
Devin Booker,0.43507848582821684,0.4562334217506631,344,754,0.021154935922446248,0.021154935922446272
Jaime Jaquez Jr.,0.4975111447156448,0.5180722891566265,301,581,0.020561144440981734,0.020561144440981727
Aaron Gordon,0.48934093919466665,0.5091575091575091,139,273,0.01981656996284252,0.01981656996284248
