player,PLAYER_ID,role,cluster_id,cluster_confidence,archetype,avg_distance,avg_xFG,avg_sdi,actual_fg_pct,pullup_rate,usage_pct,attempts_per_game,total_attempts,games_played,pct_rim,pct_midrange,pct_3pt,pct_corner_3,distance_std,distance_iqr,distance_entropy,layup_rate,dunk_rate,hook_rate,floater_rate
Mikal Bridges,1628969,Wing,Wing-0,0.9527420375373963,Wing – Shot Creator (Mixed),14.518808777429467,0.4591819651565439,0.4627467937616926,0.5015673981191222,0.7507836990595611,0.16783226025716064,12.509803921568627,638,51,0.41379310344827586,0.13949843260188088,0.44670846394984326,0.20846394984326017,9.721980977165217,20.0,1.5952720515863112,0.20689655172413793,0.03761755485893417,0.003134796238244514,0.03761755485893417
Miles Bridges,1628970,Wing,Wing-0,0.7481507134549389,Wing – Shot Creator (Mixed),13.82730923694779,0.4685716160957919,0.44129478803154354,0.4457831325301205,0.6198125836680054,0.22808732871532716,14.647058823529411,747,51,0.5167336010709505,0.03480589022757698,0.44712182061579653,0.1285140562248996,10.87330911273475,22.0,1.4994847990911273,0.24899598393574296,0.06559571619812583,0.0642570281124498,0.11378848728246319
Bruce Brown,1628971,Wing,Wing-1,1.0,Wing – Paint-Dominant,9.63302752293578,0.49051058983298024,0.3839536619319736,0.4648318042813456,0.47706422018348627,0.1383283957337066,6.288461538461538,327,52,0.6819571865443426,0.07033639143730887,0.2477064220183486,0.11620795107033638,9.354957234272556,18.5,1.5042272584326455,0.4801223241590214,0.024464831804281346,0.009174311926605505,0.1743119266055046
Jalen Brunson,1628973,Wing,Wing-0,0.9998806074498243,Wing – Shot Creator (Mixed),14.81183932346723,0.43139398789098593,0.49831025387614536,0.4725158562367865,0.8361522198731501,0.30321574621787156,20.565217391304348,946,46,0.4376321353065539,0.1849894291754757,0.37737843551797035,0.06448202959830868,9.212397179805826,18.0,1.5640840270406173,0.1553911205073996,0.0,0.006342494714587738,0.19027484143763213
Wendell Carter Jr.,1628976,Wing,Wing-1,0.9996350774761485,Wing – Paint-Dominant,13.012224938875306,0.5149990516157836,0.38789027176723734,0.5012224938875306,0.6063569682151589,0.1557535150208558,8.520833333333334,409,48,0.5036674816625917,0.09535452322738386,0.40097799511002447,0.1466992665036675,10.386045841598628,22.0,1.5422701370900764,0.20293398533007334,0.16381418092909536,0.02444987775061125,0.05623471882640587
Donte DiVincenzo,1628978,Guard,Guard-3,1.0,Guard – Perimeter-Focused (Low Usage),20.1875,0.40795817721257827,0.4841972203344031,0.41964285714285715,0.8446428571428571,0.16779816868057595,10.76923076923077,560,52,0.20892857142857144,0.033928571428571426,0.7571428571428571,0.18928571428571428,9.189255655334962,4.0,1.2657228445424618,0.13214285714285715,0.01607142857142857,0.005357142857142857,0.05892857142857143
Shai Gilgeous-Alexander,1628983,Wing,Wing-0,0.9830158534556229,Wing – Shot Creator (Mixed),12.367219917012449,0.45888039698442085,0.4892688673479277,0.553941908713693,0.7074688796680498,0.3229589671860005,19.6734693877551,964,49,0.5062240663900415,0.262448132780083,0.2313278008298755,0.012448132780082987,8.842923974152757,15.25,1.5848071427939439,0.27593360995850624,0.013485477178423237,0.001037344398340249,0.06431535269709543
Kevin Huerter,1628989,Wing,Wing-0,0.9985288305662223,Wing – Shot Creator (Mixed),15.637931034482758,0.4456243507665575,0.46406997117370624,0.45320197044334976,0.729064039408867,0.186984739045671,9.022222222222222,406,45,0.41133004926108374,0.034482758620689655,0.5541871921182265,0.12807881773399016,10.905404239859166,22.0,1.4135262177621386,0.24630541871921183,0.019704433497536946,0.0024630541871921183,0.11822660098522167
Jaren Jackson Jr.,1628991,Wing,Wing-1,0.9999999899671062,Wing – Paint-Dominant,12.402985074626866,0.4493287348948333,0.429255659316118,0.4746268656716418,0.6238805970149254,0.24843108935718766,14.88888888888889,670,45,0.5925373134328358,0.0791044776119403,0.3283582089552239,0.07611940298507464,9.279515510864174,19.0,1.4969656193049863,0.21641791044776118,0.022388059701492536,0.12686567164179105,0.24029850746268658
De'Anthony Melton,1629001,Wing,Wing-0,0.9095428661551979,Wing – Shot Creator (Mixed),14.540322580645162,0.43637877429234523,0.48201197750634467,0.4274193548387097,0.6612903225806451,0.24524840367543999,9.92,248,25,0.4798387096774194,0.04838709677419355,0.47177419354838707,0.15725806451612903,10.447012391670395,21.0,1.4724556513191243,0.3225806451612903,0.0,0.012096774193548387,0.11290322580645161
