player_name,team,salary,salary_millions
Kelly Oubre,PHI,8382150,8.38215
Goga Bitadze,ORL,8333333,8.333333
Simone Fontecchio,MIA,8307692,8.307692
Tre Johnson,WAS,8237640,8.23764
Georges Niang,UTA,8200000,8.2
Zeke Nnaji,DEN,8177778,8.177778
Vasilije MiciÄ,MIL,8109150,8.10915
Deandre Ayton,LAL,43654814,43.654814
Tre Mann,CHO,8000000,8.0
Tre Jones,CHI,8000000,8.0
Kevon Looney,NOP,8000000,8.0
Jock Landale,HOU,10296274,10.296274
Anthony Black,ORL,7970280,7.97028
Tidjane SalaÃ¼n,CHO,7863240,7.86324
Max Christie,DAL,7714286,7.714286
Dyson Daniels,ATL,7707709,7.707709
Isaiah Jackson,IND,7600000,7.6
Jeremiah Fears,NOP,7520040,7.52004
Ayo Dosunmu,CHI,7518518,7.518518
Bilal Coulibaly,WAS,7275600,7.2756
Payton Pritchard,BOS,7232143,7.232143
Donovan Clingan,POR,7178400,7.1784
Kenrich Williams,OKC,7163000,7.163
Jeremy Sochan,SAS,7096231,7.096231
Tyus Jones,ORL,7000000,7.0
Egor DÑmin,BRK,6889200,6.8892
Jevon Carter,CHI,6809524,6.809524
Clint Capela,HOU,6700000,6.7
Ousmane Dieng,OKC,6670882,6.670882
Jarace Walker,IND,6665520,6.66552
Dean Wade,CLE,6623456,6.623456
Jalen Williams,OKC,6580997,6.580997
Rob Dillingham,MIN,6576120,6.57612
Jalen Duren,DET,6483144,6.483144
Ochai Agbaji,TOR,6383525,6.383525
Collin Murray-Boyles,TOR,6332520,6.33252
Mark Williams,PHO,6276531,6.276531
Day'Ron Sharpe,BRK,6250000,6.25
Ziaire Williams,BRK,6250000,6.25
John Konchar,MEM,6165000,6.165
Taylor Hendricks,UTA,6127080,6.12708
Saddiq Bey,NOP,6118644,6.118644
Zach Edey,MEM,6045000,6.045
Khaman Maluach,PHO,6016080,6.01608
Jake LaRavia,LAL,6000000,6.0
Jaden Hardy,DAL,6000000,6.0
Cam Thomas,BRK,5993172,5.993172
Cason Wallace,OKC,5820240,5.82024
Cody Williams,UTA,5742480,5.74248
Cedric Coward,MEM,5715120,5.71512
Al Horford,GSW,5685000,5.685
